logM_cut,logM1,sigma,alpha,kappa,alpha_c,alpha_s,log10_f_ic
12.6743817282,12.5720304977,0.4143249682,1.7131273664,0.5783948603,1.7282131067,0.3849622833,-1.8949738936
13.2614383652,15.0933533549,0.5808790268,1.1107394067,1.8855836680,1.8134750790,1.5841263737,-1.3038614559
12.3084562778,13.4446755493,1.0525401471,1.3111952439,0.4576816665,1.7302508759,1.3376071307,-1.8454654855
11.3658232665,15.3041126943,2.0144977764,0.4425553742,0.4673623720,1.4695406879,0.2677363556,-1.9720164880
13.5628588690,14.6379746803,2.0109172127,0.3041121018,2.9967606057,0.1043917509,0.3765691857,-1.8536084760
11.4264330383,12.3995049848,0.2552173123,1.6763241171,1.3116874385,0.7750228319,1.9886742716,-1.2674334349
13.9459979506,14.7403007663,2.3489254215,1.7185561633,2.2503882672,1.6817882052,1.1757193208,-1.6596286715
12.1436945506,12.3576158298,1.3922009303,1.6909325864,0.8549380697,0.5844304731,0.4479643264,-0.6946637160
11.5728775999,13.7648127316,0.3683020778,0.7954976917,2.6014637573,0.7482645221,0.3447937857,-1.9311188574
12.3525522847,15.5742964717,0.2050442069,1.4562252659,0.6146744784,0.3815043209,0.1975266753,-1.4591190214
12.8105136075,14.0955788877,0.8188003234,0.7783894628,0.7613053322,1.2823506716,1.4973793307,-1.2992158079
13.7034212827,15.6433378731,2.0811458398,0.4680388572,1.7333881768,1.3499577040,1.9998892092,-1.6232619622
12.1098505306,15.2936354247,1.1259578564,0.7685308282,1.5573414240,0.2549909475,0.1062499901,-1.9767766974
11.5778782698,13.4792740064,0.2722897654,1.7887760411,0.7709576718,0.7531674751,1.6699014918,-0.7250604212
11.2377334917,12.6595933124,0.9814996243,0.3900116648,2.3927029270,1.7378017737,1.4823128501,-0.6058539797
13.7732572021,14.1927918965,0.0966615674,1.1489077784,1.9475967098,0.7617308956,1.0589278639,-1.0822713343
13.1995987980,15.2661488025,2.6118447315,0.3941127424,1.4521805490,1.1877204632,0.1790442455,-1.7691253341
13.5009488042,15.3185299528,1.0999008227,1.5897432575,1.0522754470,1.1186285133,0.8454062471,-1.7309232869
13.3254342255,15.2380763583,0.8690149164,0.3347897609,0.7675088867,1.3666948253,0.8243912163,-1.9552990834
12.5086278306,12.3508473775,1.6597953205,1.5032559122,2.2934240451,1.0702785619,1.7257357943,-1.8204215696
11.8073337319,14.8370971375,0.8577465203,1.9729089023,0.6425289986,1.7840822395,0.0223982316,-1.2143905230
11.6570086525,13.4048195406,2.1001619188,1.9434692483,2.8229067951,1.0918099016,1.6147676686,-0.6437569370
13.2900181383,13.1617102779,2.6806020445,1.2817115260,2.7036374068,0.9724015106,0.6310156936,-1.4618993902
12.5693925385,15.6915210656,1.1996486893,1.6462508947,0.7302237691,0.4371627834,0.9904513572,-1.4080068471
13.8758658143,14.8804065338,2.2447124036,0.8809400906,1.9217166816,0.3833711200,1.8576847767,-0.7547216751
12.6589788431,12.5542483839,1.1688500405,1.2235595343,2.1966069187,1.5141277200,0.7724393970,-1.7122190543
11.5965461935,13.6600534738,2.1968467193,0.7998829691,0.5021801078,1.0562989326,0.5027258522,-0.7771828825
11.6883528776,12.4452556145,2.3729630919,1.4790276595,1.8475714213,1.0014092819,0.8490829038,-0.9786634712
11.4287546033,13.0363262324,2.7096561179,1.0512119997,1.3800080064,1.9762416000,0.0854321831,-0.9972553449
11.8045020253,12.9200035811,1.4860029458,0.5300947875,1.7361558100,1.1342059332,0.8799420010,-1.6323612421
12.6415995387,13.3888929282,1.6824053873,0.9376519150,1.4970280736,0.8439276746,1.2979891403,-2.0565774869
13.8527034095,13.2487940728,2.2132843415,1.2709560050,1.9144454738,1.6623980723,0.9341444091,-1.1441581626
12.0016452618,12.1566480791,1.3798795461,0.6209569704,1.1150627061,0.5049909380,1.3065096237,-1.7724450178
13.9836168329,13.9113791480,0.0907961367,0.9065718295,0.7582689514,1.9145801906,0.0560395904,-0.6699173154
12.8518473991,15.9495347641,2.4958729483,1.0872969523,2.3689841386,1.2876537443,1.0318165580,-1.8662752998
13.6780559239,15.0901657574,1.1496477572,0.9449181058,1.4945544845,0.3037097395,0.4201079511,-1.0609520139
12.3407815518,12.0092008962,0.2230523005,0.3647009895,2.2462992147,1.2189832945,0.8471919312,-1.5967112531
11.3424661909,13.6314636216,2.5071657734,0.4184820022,1.2276446613,1.3267780249,0.6687307418,-2.0736177163
11.3640554073,14.3471294859,1.7472350813,1.1579610305,1.1855026384,0.2511631999,1.6730517346,-1.4628383893
13.7323971178,15.2617369124,2.5238939935,1.4004984876,2.3718384307,1.3953675717,0.1164251356,-0.8963237166
13.4555920291,12.5174959501,2.8159180280,1.7152283433,2.7874108946,1.8082271942,1.3461578856,-1.4047554494
12.7049432297,15.2088005184,0.6620566479,0.9496764500,2.8663658176,0.3797682866,0.6278558817,-1.4922629898
13.6414444098,13.7228775543,2.8669976099,1.8841059094,2.0595524879,0.1165146149,1.6379706343,-0.7632407601
12.7516016655,14.1105109537,1.3105391613,0.9959785713,0.7235768841,0.2532701613,0.5980831416,-1.2389931967
11.7242381063,14.2267561540,2.7039370049,1.0264008092,1.4761528274,0.1627182227,0.1599785447,-1.1943135865
12.1477297528,12.3073449948,0.5035022794,0.7966782827,2.8866293409,1.3068880611,0.7563218605,-1.8749854825
11.6924035315,13.8262070175,2.7738222819,0.9798639162,1.3833606085,1.8991324419,1.8490613461,-0.9902260095
11.7146934054,14.0403715855,2.3788660527,0.6838041511,2.8588114398,0.9790196049,1.0368271097,-1.6702399350
13.3585644771,15.8830253302,1.6054692348,1.5943160992,2.8821472976,1.5166595935,1.4004741940,-1.5270871627
13.0553734965,15.9698418903,0.6499846306,0.3138643859,2.3749970542,0.2144627448,0.8222959690,-0.9772571872
13.2218532537,14.3136515042,2.5144491771,1.3959209956,1.8376531942,0.7549371779,1.2737900406,-1.6175978288
13.8882314545,14.6934766710,1.8624674803,1.9399239454,2.2866826719,1.6779503537,1.3721450791,-0.7536723110
11.8599389018,13.6696060912,0.7799780566,1.4249273624,2.9792018096,0.6107324605,0.6060363881,-1.4034305366
11.9154629836,13.2009542697,2.7392900164,1.1980748169,0.6078993297,1.7144359897,0.8642663971,-0.9196711561
12.5895492422,12.7302396452,1.1773406886,1.1675880259,1.9362814992,1.2380308438,0.4114235435,-1.4396006302
12.2199000461,13.5906140286,0.0596283907,0.4750303902,1.9719011736,1.9890206005,1.3940289197,-1.1481974602
11.8244618325,13.8383536960,2.8236189535,0.7724558072,2.7339002534,0.0523958804,1.9601505967,-1.5057338746
12.4402964820,14.8625091906,0.5008539046,1.9879142201,1.8128766748,1.5405734836,1.2124525586,-1.5567981848
13.5863295919,15.6087965136,0.3598531089,1.1020012902,1.8346208760,1.0642837494,0.5979909998,-1.0687719440
11.2401035953,15.7838815708,1.2377959333,1.9508774207,0.6302866454,1.0935246833,0.7402944377,-0.6155220471
13.7176106349,13.7588042254,0.3762290392,1.3635252019,1.3549579724,0.3582268849,1.6136248126,-1.3096272174
12.1902426046,13.6891294434,1.0805777052,0.5074021363,2.7858998224,0.6151841161,0.1857263574,-0.9953623079
13.2356067759,12.8611964760,1.0332143615,0.3197329725,0.6836286933,1.0670061668,1.9637312662,-0.8030480677
12.3786119333,15.8151920838,1.4969469937,0.5202294241,2.2530867413,1.4053134151,0.7891592365,-0.7814388139
11.7298945033,15.6738365735,2.3811463774,0.8900751054,2.7752652378,1.9413493145,1.6821818704,-1.6507943131
12.1667215097,15.6696370208,0.4810396824,1.9365910484,1.2821482954,0.7513550153,0.0596891169,-1.9243114715
13.1956069086,12.1657540424,0.6936240767,0.9990674990,0.8820163571,0.6270474854,1.3380105965,-1.7470118962
12.6061190124,14.4483897841,1.6836372305,1.1292851951,1.6889821390,1.1817962117,1.8226941557,-1.6259330241
11.6605643502,12.4062681100,2.2498924717,1.0939683833,1.2744218928,0.6679178418,1.9975078668,-1.3440982957
11.3331256700,15.4099356488,2.0030622902,1.7789133672,2.8970986790,0.5492309912,0.5938789431,-1.7425472846
11.5298203425,15.3387917137,1.1448176227,1.7391917636,2.5544955161,0.8977758593,1.7742744709,-1.1955018496
11.9881771314,14.1420419920,2.7140007175,0.7344667441,0.6218924309,1.4863175926,1.7934793029,-1.1119837357
13.0389210480,14.2380805464,1.2939502249,0.3387119701,0.4233070135,0.5541392308,1.2779028614,-2.0646911544
13.3316076375,15.5073981840,2.4988578779,1.9708650509,1.0832191774,1.1999814804,1.2556233561,-1.8345469253
13.4844902375,13.3135194029,0.9562750833,0.8668323395,0.7952064725,0.8023011293,0.1839905172,-2.0892800542
11.9710664666,14.4033490261,1.5066811878,0.9751456644,0.9878134886,0.0461624126,1.1490910851,-0.6219051367
12.6364429813,13.6145538557,1.6685605220,0.7142587215,2.4848421235,0.8387985322,0.2655672886,-1.4646210391
11.7227106202,14.3316875664,2.9129104957,1.0304109863,2.4464486078,1.1716690245,0.8385496334,-1.2175621369
12.5279319749,12.2387313873,1.1943299416,0.9585904881,2.9402597289,0.5817125627,1.5646138091,-0.6782594159
13.1361795804,13.7320329021,0.9599879772,1.0615718143,1.6770186716,1.5248307223,0.6377461800,-2.0698459533
12.1747349352,15.4418551983,1.8581346239,0.8843355818,2.4274635968,1.5228108648,1.2274104896,-1.8309954316
11.8836585135,15.2519273578,2.0682128587,0.5563068231,2.4684405011,0.4514926710,0.7787784597,-0.8243303113
13.1196907338,13.3612895169,1.0688226911,0.9212362057,2.7306522600,0.3240331658,1.7771614552,-1.8487718746
12.8827650843,14.1048158858,1.2824393098,1.2003064656,1.5039460057,1.1762206872,1.6312099855,-1.6405238724
13.7279817524,12.9241538015,0.2844646747,1.2125607786,2.2659807463,1.9381748345,0.5495757052,-2.0917047013
13.4323462143,14.5604865371,2.0718628419,0.5473210669,0.5895973657,1.6065377280,0.3204340797,-1.6748549007
12.5829070777,15.8723841068,1.1194032824,0.8205432344,1.1772303713,1.9075912053,1.4285127993,-1.6650347101
13.0312581710,13.5064914213,1.9808420624,1.2368911291,2.7073344993,1.2733617350,1.4907825177,-1.6718714841
12.4672544081,13.3375929010,0.5821938559,0.6953050116,0.8367687961,1.3132455880,1.2512117860,-1.8016966630
11.7539439598,14.9852617517,2.4199815667,0.3000766727,2.9291422888,0.2598021510,0.2944929909,-1.8553215541
12.1008212826,15.2471916476,0.2784427016,1.0522125791,1.7729352751,0.8674811203,1.2239096538,-1.4437222370
11.6425138694,14.4773899232,2.9355134803,0.4409118235,1.5467184220,1.8574104521,0.9304703929,-0.7738150662
11.8358754028,14.1280617256,1.8420529000,1.0463799015,0.8587060802,1.6557244129,0.6853910669,-1.8143293474
12.8965284619,14.5286168122,2.1521497315,1.4618779805,2.0815536594,0.6334934891,1.0956793760,-1.8222778997
12.7551641620,12.5290594823,2.2731119014,0.5390688705,2.3212068916,0.8564799701,0.1284552940,-1.1523102203
11.9981636912,13.3675173787,2.7543116338,0.9186293274,2.5726857425,0.4583070429,1.5256410159,-1.2426203519
12.5651403940,13.6990189641,1.7108692644,1.8081527311,0.4353386471,0.6313213557,1.1349382992,-1.4478726096
12.2157145698,13.4273549837,0.5491799430,0.4922904190,2.8170011315,0.0829646770,1.6850187842,-1.1752946185
12.5452976096,12.6942617477,1.5356047355,1.8926863715,1.0561289258,0.3570359385,0.7340935890,-0.7697453653
13.8864476337,14.4991691310,1.8232404462,1.6106489072,2.8754788261,1.6841663032,1.4153569340,-0.8694121938
12.5230979604,12.7703981950,1.2164043417,0.5138816938,0.5916307695,1.5823633843,1.8165167707,-2.0077031389
13.3135719441,14.8723173366,1.9369758388,0.8609148186,1.2521755101,0.8864110859,1.6747545825,-1.4816262579
12.2953778209,13.0071521816,0.5942286501,1.2104554177,2.3313746631,0.6919953825,1.5100132630,-2.0674213446
11.4966262233,14.8341669518,0.6476129098,1.9232410446,2.2179928364,1.5372141452,1.6601562951,-2.0029787347
13.6535666956,12.3261556023,0.1750201461,0.4111805179,2.1401234833,1.7340998778,0.2893145727,-1.3592658533
13.7797013366,15.0766159698,0.1048792388,1.0557356244,2.6951902832,0.3945007628,0.2100163846,-1.2307971207
11.4977520120,15.8907900789,2.2171573932,1.4094772297,2.6281060211,1.8051937196,1.1308763621,-1.2415796738
13.1053749844,12.9163716547,1.5317420970,0.8547999779,0.3395756214,0.9211836867,1.3111198998,-0.8941887105
12.6809431737,15.6053300403,2.5300334468,0.8275730535,0.5564466306,1.6973469063,1.0156043803,-1.3226672271
13.6615902349,15.8470132785,1.9149964525,0.5513800832,1.2496570882,1.7777226910,1.1414329585,-1.0720121048
12.1634510847,12.4871899104,1.5463737629,0.7119076351,0.8293271093,1.2367798790,0.6574897861,-0.9744382172
12.4647026247,14.3840954864,1.4088009716,1.6282347729,2.9918372855,0.6491998771,1.7362497848,-2.0829153412
13.0271569599,13.7482562500,2.4064380469,0.3827522334,0.4929297193,1.5950203515,0.2147355950,-0.8675011669
12.8681162260,15.3283493127,0.8042283765,1.5956663511,2.3250588480,1.7945100169,0.4524706655,-1.3391438851
13.4498542986,15.1421741912,2.7982793212,1.3308038074,2.4646188356,1.4434843832,0.6748280773,-0.7971149736
11.9217872015,15.7207357759,2.5204182902,0.8046149108,2.9783797310,1.4233277401,0.0424049783,-1.0857587608
13.8204126786,14.2009026564,2.9696528875,1.9177368936,2.5491037543,0.2496148184,1.5276920728,-2.0106342005
13.7686649281,13.8162683969,1.6920575366,0.3882816109,0.6884274067,1.0684185241,1.5874587357,-1.9903272736
11.6349423309,15.3355526208,0.4715024121,0.4646001942,2.1780565624,0.5448956301,1.0349984677,-0.7900292444
12.0717724771,12.1920318320,2.0550017343,0.7224220190,0.9585429625,0.3305443134,1.5360466718,-0.6964774896
11.5039086151,12.7383008923,0.9658457425,0.3515571505,1.4735459882,0.4744250723,0.7223357598,-1.7952318462
13.1168333352,12.6347138173,0.4057535377,0.5417376380,0.5443736049,1.2482139380,1.8617121826,-0.8278186032
11.9809309333,12.6233858979,1.9423984800,1.3997852186,2.1763574208,1.6459989625,0.4331273667,-1.7936619358
11.8971024526,13.2293909696,2.0285306180,0.9559143986,0.7343034679,0.9662783981,0.5123537508,-0.9818084126
12.2337062403,13.7836289757,2.1168165554,0.6557457442,1.9841048797,0.4824953422,0.0809916428,-1.7966253990
13.3434988970,13.6745283826,2.4503424324,1.7803457551,1.4481709748,0.4697621793,1.4478280353,-1.5317644370
11.4739090298,15.7247075695,0.8988044801,0.4071163396,1.4309295296,0.1726929203,0.6551025410,-0.7355893773
12.1299497642,13.3400976174,1.0743814231,1.1955730888,0.8043038456,0.9326878522,0.2094218328,-1.5071020877
11.4028140222,14.3377963649,1.4195143592,1.6536920943,1.5770282400,1.3899010817,1.0527968831,-2.0017292881
12.7224714830,12.6983253757,2.1637262690,1.8268947605,1.6430846977,1.8472292610,0.5894586065,-1.0672828777
11.8823187011,14.1217436195,0.2499700429,1.7686876653,2.5004971178,1.6095754457,0.5062109770,-1.9134694361
13.9295185110,12.9684389442,0.5475901322,1.7577906440,0.3811740368,0.3118810266,0.9835696435,-1.2098786570
11.2582526378,12.0492818920,0.4433577231,1.5799314331,1.2633411401,1.6271545319,0.2236477234,-1.8107020380
13.4599912107,12.7107184112,2.5609177239,0.7028060403,0.8741351020,0.5334703856,0.5347790299,-0.6633080854
11.7015125767,15.7962813335,1.6257005068,1.1447174150,2.6756886186,0.2707608615,1.3157560621,-1.4277785735
11.5842880398,14.6007207646,2.4854218184,1.4951056487,2.3977807272,1.7011974701,1.6813521267,-0.8354229682
11.8087847893,15.2047752361,0.6894889764,1.3761363220,1.0114536732,1.0450126558,1.4720582305,-1.2935710985
11.4648869299,12.3376609892,2.0966158422,0.8162541544,0.4047783375,0.5977934330,1.6962677108,-1.4363839967
11.6217957162,14.2063653225,1.6187054430,0.9721236464,1.1236977226,0.6861344408,1.0052170160,-0.8119938937
13.2707370698,14.2337282631,1.2406145463,1.5347801192,1.7295031226,1.1133585689,0.1333085384,-1.1555678892
12.8573350086,12.4673357495,1.7138306586,1.7528385356,1.3389207448,1.2888746552,0.3324889209,-1.0983861335
12.3120849883,13.8802899806,0.2742078164,1.8594627890,0.7912580448,1.5481089602,1.7992150305,-1.5658858506
13.4719788629,13.0359815248,0.9118843740,1.2610432880,0.4550807964,1.8679469351,0.5705130801,-1.8702782180
11.2602100310,14.1341369702,2.3879835807,1.0143626955,1.4169070666,1.3722424728,0.1232538788,-0.7853476169
12.9632430430,13.4913576467,2.8986752763,1.8376557962,1.6566514826,1.9620691681,1.4540728402,-0.9267834632
13.2994746940,15.0496229092,2.8263655577,1.2564634113,2.4057270134,1.5623780742,0.4850364729,-1.5998465890
11.6284499960,13.0655711543,2.4257250618,1.7001710266,0.4284724279,0.2917632018,0.5524104989,-0.6807565753
12.4592036880,14.8227848135,0.8313769972,0.7079592504,2.1696947649,1.0550726486,1.5906197465,-2.0717450876
13.8301286739,12.4504930640,1.0961438557,1.1465318385,0.3122533366,0.0609554982,1.2915713472,-1.0352094355
13.3834722720,12.5426234357,0.0207095696,1.9371895563,1.6732065160,0.8183820608,0.5580511658,-1.7371211029
12.0493753255,14.9285143637,0.0100972967,1.9788706556,1.4544360938,0.6259282022,1.2689307985,-0.7034903145
12.7317156189,14.6798384031,0.8528826090,0.3317869997,1.2047619293,0.3079097705,0.6581282518,-1.3377562136
12.7648709877,12.0477607027,0.8584958770,0.5105352120,0.9492557750,0.6281685103,1.1228651038,-1.2980958500
13.1839539550,12.8997475313,0.7080937430,1.5081718879,0.4263887186,0.1354279054,0.2200712536,-1.6636414291
12.0935715515,15.9651686244,2.3615099425,0.3782409742,2.1067261824,1.6741132353,0.4757461295,-1.8176936828
11.8144721081,12.2698260176,2.9433032353,1.2180479335,2.4310969365,1.9810341232,0.7650871923,-0.6095795122
13.9093875227,12.3824339726,0.2367307403,0.7180683587,0.6434943514,0.6631078542,1.1161386310,-1.3479183315
12.6195015072,15.1553699066,2.1833825406,1.2792412488,1.5900094986,1.1549684886,1.7841276461,-1.6889657891
12.1709381908,13.0158035294,2.6575391945,1.1600923416,0.9069731645,1.9828628606,0.0301751024,-2.0303058283
11.8114472292,15.2711925310,1.4105982491,1.2832497589,2.1093668306,0.7921023138,1.0693041984,-0.9151358686
13.0137673989,15.5782486337,1.0291629190,1.8820568733,2.4174189123,0.2049190466,0.6796343825,-1.1269811012
12.3937710627,12.6773085864,2.4286957208,1.4556113025,1.9099508517,1.7196622539,0.3061266606,-0.8177818554
13.6440995254,12.0300094092,2.7344413512,0.5337360720,1.2006209978,0.3460103702,1.8390274388,-1.2052169199
12.3440190550,13.9997326970,2.2572211301,1.1632124548,1.1730784558,0.7398983331,0.4480372258,-0.8467035076
12.1046890850,12.0020977553,0.0568190075,0.4822022370,2.3286499039,0.9084364859,1.3351436603,-0.7389569051
11.8752025588,14.0534757382,0.0949569791,0.5538736997,1.7021859937,1.6500788261,0.6832581754,-0.6711376227
12.2449260557,13.2139769507,1.5847902807,1.1373184939,2.9022181631,1.2565095923,0.7637376897,-1.7237978755
12.2118448900,15.3410109208,1.0863159363,1.3212366030,2.9484010445,0.0980879067,0.6236911538,-1.7147965005
12.9099842775,12.4178824346,2.7003515233,1.6400070718,0.5140879746,0.8056496389,1.7632846347,-1.3897176074
13.1763872073,13.6029062812,1.3910750004,1.8552836305,2.4234143528,1.4825899436,1.4898601367,-1.0537216847
12.7070098087,14.1530080395,2.8295547807,1.0999379909,1.4317844959,0.6215184939,0.5832783789,-0.6527645334
11.3274910433,14.9224317599,1.2892772187,1.1691219728,2.9586526137,0.6714543913,1.8197382193,-0.6621582326
12.1819516990,15.4225229086,1.8322920082,1.8032026357,1.2073889910,0.2370041363,0.3927140032,-0.6343007584
13.8768032770,15.3575459341,2.5683306616,1.9270553660,0.9080630810,0.5670781372,1.2578376920,-1.1700237083
13.1474638382,14.7060227419,0.7637779128,0.5948341155,0.4686091607,0.5723267739,0.7557826858,-0.9693377665
12.9645795861,13.5166086525,2.9040155274,0.5025160496,2.7491972727,0.2733713041,1.9271966767,-1.7839021277
11.9907023617,15.1322447786,0.5389660773,1.0725530970,2.4564999910,1.2996604001,0.9716096289,-1.2810869180
13.2945419781,12.4703884816,2.9854976373,1.3188417399,1.5603818129,0.2196490755,0.5223760236,-1.8048970676
13.8630428015,12.9754397784,0.8349668742,1.8881153944,0.5477648078,1.5874475853,1.3280709622,-1.1403968964
12.9515961203,14.4222699376,0.3742408958,0.4805811552,2.9358160068,0.3932433640,0.5783297484,-0.6543196124
11.9111879438,12.7057153306,1.7670177667,0.5736343047,1.5225384052,0.5649621707,0.6423801185,-1.5856335630
12.9124933430,13.4610116968,0.3198853704,0.4373789781,1.6197721613,0.8591799024,1.0930411659,-0.8937927216
12.2538016932,12.5852383922,0.6030510385,0.9809998662,2.2483109431,0.0481533061,1.8655082488,-0.8785947229
12.3318871952,13.9076088480,1.7565953058,0.4764590438,2.8266994868,0.1570723438,1.5054211406,-2.0366940907
13.1070587063,14.2567891176,0.8212019074,1.4283339715,0.6341122335,1.8157299238,0.3381124033,-1.2591030717
13.3721708695,14.7126133158,2.6988024141,1.5885403014,2.2219627578,0.7807214993,0.7484341895,-0.7188164016
12.0430312924,15.7005960115,1.7224548577,0.4390129761,2.6218635528,0.4542651529,1.0893883995,-1.0059283746
12.3206720927,14.5954868270,0.8406574849,0.3953045305,2.6659333876,0.8811175545,1.6522466437,-1.3417911864
13.4043146414,13.4527179762,1.2727519414,0.8622106467,1.8602818215,1.3995233229,1.7229942501,-1.0312579154
12.0887685958,12.5144195926,0.7446393259,1.8352476386,2.6888338424,1.6485269536,1.7326440563,-1.1647846357
13.6214721153,15.7168190710,1.4971181211,1.9341728782,1.0859217780,1.2240316295,0.9232958987,-1.1289573353
11.5094729883,15.8760534850,1.6407185765,1.2852989626,1.5693360446,0.3514318974,1.2644244143,-1.7630741747
11.7572560601,14.3764658807,1.4720960389,1.2897906717,2.3888904873,1.9327872743,1.1386830385,-1.4832443931
13.2159315376,14.1831193684,0.8828642466,0.4877420105,2.9878618663,1.3298895801,0.7293034482,-0.7917976503
11.7739135001,13.9864142551,2.1451645551,0.6144135028,0.3492757945,0.3634847748,0.7262667823,-1.2326191020
13.3199200255,15.2271363008,2.6384061217,0.6573752411,1.7681366107,1.7335385074,1.0499456357,-1.6814377729
12.4244119527,15.9774577586,0.6307680158,1.4737962580,1.8053144387,1.1651009355,0.0987191216,-1.4988023025
12.0179134357,12.0927529905,2.3299513092,1.4720163642,2.1005192263,1.8900553075,0.4781942146,-1.5478828463
12.9826699435,12.7233234612,2.0333646835,1.5867469976,2.2247757013,1.3198573909,0.3500203539,-1.7536110865
12.8656288822,12.2526909816,0.7152592793,0.4091834908,1.0731965376,1.8582356499,0.8567230649,-0.9022831876
12.3152043009,14.2822104290,1.3519618085,1.1424049908,2.6161417719,1.2684068565,0.6034785924,-1.6967302973
11.5185102137,12.7726317194,2.1290093961,1.0655337152,1.0752876940,1.0258445107,0.9384699512,-1.3864614982
11.9945934574,14.8932443942,0.9152706101,1.8107984673,2.4395641487,0.7374203318,0.1988914288,-1.2894327930
11.4474910609,13.6855058145,0.3325947606,1.7897209812,0.8246781740,1.9486348238,1.4958518589,-0.6231702583
13.6236547016,13.3236531541,0.2333328962,1.9924503635,1.0242941530,1.6575258758,0.8863405002,-2.0783186974
11.6374708193,15.5941097761,2.7465024173,0.7664464770,1.5259944794,0.0670163748,1.4409426849,-1.4019029954
13.3847349576,14.1677125987,0.6974529377,1.6778812943,2.2550114505,1.9110129868,0.8310633589,-1.3589433000
13.5255383859,13.4712764623,0.7073492516,1.5238381812,1.9037984661,1.2111361087,0.0524615148,-2.0606001997
12.9219099826,13.3097200684,0.6715371506,0.3987001703,1.5091481145,1.9347467216,0.3573475233,-2.0484623420
11.2912456759,14.9689614278,2.3423079626,1.9610601539,2.3020494339,0.2644878137,1.5063005396,-1.9034982429
11.5913729521,13.7628524303,0.9982487007,1.8244531187,0.5684273992,1.6280129550,1.0020194438,-1.0267901598
12.8418107238,14.6485601178,0.0482011996,1.5151534369,2.0022729373,1.7903343259,1.5773935958,-0.9006597136
11.7180402609,13.3000598132,0.2612816796,1.9850426378,1.6546733476,1.8653582999,1.9829054343,-0.8708411661
13.0213845921,12.2134533189,2.0087750309,1.2167264039,1.4708994152,0.3013386460,1.0217455481,-1.8962830683
12.7264185415,14.7302148706,1.5563163966,1.3221091201,1.6755042510,0.7219576880,1.7973672771,-2.0762655021
12.1109635560,14.5988998758,2.6938051597,1.6837066105,1.7456293363,0.8319565531,1.2163024158,-1.9922330957
11.5539016143,12.5982212479,1.6906714454,0.8880779449,1.3211325689,1.6602138950,1.4799779667,-1.0577679063
11.3066690683,14.4738020255,1.9705498813,1.7174552562,2.8200180371,1.8605503664,1.1108011464,-1.5389297226
12.4558166219,12.3107989124,0.1665683013,1.7426885673,1.3280940771,1.8519080735,0.9692955750,-1.4155671140
13.1403483742,14.3582432859,2.0200679718,1.4821623130,0.6111030492,0.3363789606,1.1145765884,-0.8836541965
13.2874699372,13.1215863762,1.8892633019,1.7058276619,1.7546963061,1.7090902112,1.2051721394,-0.6572650005
13.4880916365,14.0082972533,2.2823959550,1.3031197260,2.7380517754,0.1841500751,1.8660961424,-2.0580180778
