logM_cut,logM1,sigma,alpha,kappa,alpha_c,alpha_s,log10_f_ic
11.6534797209,12.0154026917,1.9707251949,0.8615409637,0.5318002974,0.0898436732,1.6974579560,-1.7886255133
12.4791747627,14.1008891190,1.1849362532,1.4276036701,1.2871162614,1.7471309195,1.2215703734,-0.8527510603
12.6384461894,14.6712657124,1.7272578873,1.5235678847,0.5735864805,0.0676294248,0.6814490505,-0.8567034143
12.3291789393,15.3287601452,2.9982747023,1.4097469798,1.7071981711,1.7719949462,1.6590964838,-1.6386931636
11.4062676220,12.8146797115,0.3174270077,1.3778345424,1.8957435302,0.7017373784,1.6235479885,-1.4143664397
13.4428612422,13.6753673949,1.0603500263,1.5938624568,0.8190334745,1.9807684922,1.3676259848,-2.0489793774
13.0018166375,13.7152021818,0.3568919579,1.3560441344,2.4676882870,1.1811788642,1.4793368069,-1.2342234847
11.4152047615,14.0302448718,2.7904500059,0.6834924787,0.5675783265,0.9194060192,1.6373724285,-1.4822625310
13.3908574941,14.4147414108,0.3457501902,1.9229294524,1.8391233109,1.1660069189,1.5095828330,-1.4844519131
12.8568884451,14.2349041013,0.6441089386,1.5278792227,2.9055098416,1.4741862379,0.2778639378,-1.1017342320
13.3876830735,13.5655831844,0.1831151971,0.3328751958,1.2189244301,1.2474649582,1.3417191586,-1.9460115336
13.6294262215,13.8648108918,0.9789616473,1.4229019672,0.9013462947,1.5392312574,0.9480886475,-1.5091419347
12.9962776780,13.6765560384,0.6109412009,1.3892463809,2.9905106599,0.4870390258,1.4954407859,-1.9562624965
12.9439686655,12.3611200669,2.0303329407,1.1418795440,0.5629195976,0.3411589057,0.8337966765,-1.5427710333
13.7417479957,12.3995950030,1.4145803565,0.4267211322,2.6450941637,1.4875645624,0.2272448813,-1.0428706123
12.6944353859,15.9879208214,2.7400485659,1.8910419975,2.0432120174,1.4388679272,0.6281662980,-1.8802565412
13.8342544865,14.8356024779,1.3146003081,1.6813759937,1.8444758987,1.0162889641,0.9665797326,-1.9770551916
13.8089702403,13.1728032355,0.4254029276,1.7469303199,1.1992851763,1.4842959861,0.2659179649,-1.4990874601
12.1562572864,14.6894638006,2.5905126229,1.9368610713,2.8783151903,0.1867589037,0.3211550139,-1.2328538847
11.4042036372,15.3405527171,1.6073846852,1.6420183182,1.6872355395,0.8113202724,1.0476357240,-1.7356481741
11.4686330695,12.4863992887,0.5809141190,1.8407475961,1.2108349362,0.7139145061,0.7991718284,-1.9995843684
12.4900730856,13.3278332032,2.5377298018,1.0377387498,1.4206875155,1.7536113378,0.2934889888,-1.9777601049
13.9083591488,14.3315531987,2.2455900686,1.6907248860,1.8776429383,0.3818725956,1.0472501582,-1.5927411291
13.2431713834,14.1392389914,0.2129944144,0.6904320069,0.4922305712,0.6546676543,1.1252407085,-1.0069254209
11.7790875290,13.4163554950,2.3852591552,0.6592297576,1.9905503291,0.6357998412,1.4742892596,-2.0234955722
12.6360275319,12.3689616910,2.4125541912,1.5649906892,1.4405190385,1.4166129987,1.6582041581,-0.6166625624
13.6859050056,15.0325214989,0.8756149504,1.8627594000,1.0218843804,0.3800075072,1.0336436357,-1.6167750117
11.7491167672,15.4333311382,2.2546466934,0.6431636661,1.0112017298,1.1320485326,1.7601654943,-1.7837426548
11.8131661800,13.3067629448,1.3137443749,1.3159082479,0.9081143852,0.9790559911,0.0075896337,-0.8410282381
11.3527223121,12.9117983271,0.0574620498,0.5326959116,2.4341036166,1.1306332989,1.6563128224,-0.9607826293
12.9306273531,14.7259910744,1.6861976191,0.3286365362,2.6025727955,0.8251990422,1.0649390606,-1.0503544462
11.6661914103,14.1631436228,1.7054814077,1.0790131420,1.2347604282,1.3871922375,0.2332646075,-1.5068823365
11.5062753375,13.2154696914,0.7736454494,1.0040020926,0.4254050108,1.2069956563,1.5811179257,-1.4352055460
12.2807192094,12.9537640865,0.9425040008,1.3389812034,1.4903322849,1.4884765844,1.7859727622,-1.6459810246
13.4338669788,14.4050996128,0.9380314916,0.8425576539,2.1190821982,0.5707693464,0.5695083516,-1.9637165437
11.2142727465,12.3540974040,2.9058836107,1.7628794396,1.3369151582,0.8057454070,0.8721697796,-1.1687464540
13.8243218653,14.5170103479,1.3242871931,1.7077824809,1.8793997403,0.0614639337,1.2995425406,-1.6301811550
12.9001049868,15.0567852170,1.5861872455,1.1134812473,1.4799523801,0.7070152762,1.8355818694,-0.6118654208
13.1754801884,14.4779417601,2.1534759655,0.7017373086,0.7710363631,1.2792046739,0.0297500975,-1.1311806731
11.3538897906,15.5759466456,2.7483777975,1.6380109899,1.4699395055,1.7407092938,1.5796258059,-2.0531806568
13.6732186781,13.7716447560,2.7936419901,1.2178743957,2.5346300959,1.8757374632,1.6059361665,-1.5966018678
13.0941321851,12.3106395553,0.7631445492,0.4099270766,2.1560036576,0.8258059210,0.0055600113,-1.2570127203
12.8652279374,14.3517153997,1.3170367019,0.8779694265,0.6447783011,1.5252552288,1.2088610634,-1.3345516878
11.7096953994,13.3334512754,2.8657191465,0.7723714158,1.1870391374,0.4832526958,0.3262388808,-0.8209614022
12.2144654472,12.5306294141,1.3412947910,1.8751389566,0.6396380464,0.8561021280,1.1690877277,-1.5315422943
13.2469579720,14.0556942017,2.5290668483,1.6903937116,2.7381630699,1.7588314213,0.5462964194,-1.0630574354
12.1932734161,15.6678679348,2.5298859442,1.3059086001,0.4316155007,1.2781639523,1.8819461133,-1.6597444192
11.8357553612,13.7924377154,2.9763290341,0.9045155215,2.6214727193,0.4299300146,0.6147988952,-1.3516598452
11.2325973422,14.5949987454,2.5937769033,1.0446099553,2.3284127036,1.6599159576,1.5120234899,-0.9926467797
13.2816680611,12.2267350454,2.9752144706,1.0270676806,2.4897982687,0.5117641260,0.3633327857,-2.0446436110
12.7457112948,15.0859447231,1.7957751739,0.3066521561,2.0623936993,1.6638597099,0.0680613387,-1.7500747272
12.2044830586,13.9497922925,1.8331541068,1.6610164646,2.6821925503,0.0453363457,1.5913615142,-1.4076626034
13.7689402846,15.7592431890,1.5559731978,0.6022094250,2.5963177185,0.3349935140,0.3448023252,-0.9633403976
12.6706720057,15.7128062743,1.2796281942,1.5152943497,1.7373419512,0.9040749785,0.5492079084,-1.5616899422
11.6738601464,12.7808685113,2.8480823092,1.4646516200,0.4351297016,0.2371323410,1.0706003284,-1.0558378715
13.7058584286,12.1335632624,0.0191585291,1.3117346193,2.9416929328,0.6946175976,0.2112635031,-1.4589637240
11.2053638120,12.7500129810,1.6158482021,0.6426262134,2.6512511058,1.0889084293,1.1380900605,-1.7192797879
12.3542106622,14.0146150246,0.9275017158,0.6507615484,1.8072489942,0.3862000891,0.9353065830,-1.2864573621
12.4992298510,12.9162621896,1.5176144104,0.9816872728,2.3707351644,1.3339100293,0.4122089728,-1.9382745568
12.7767114232,12.9526974725,0.7273680651,1.3976997141,0.6980262573,0.2521768944,1.6426686051,-0.6857248654
12.9212979888,13.6282562840,0.6669770742,0.5022555705,2.5066377655,1.1036414905,1.2212117205,-1.2185031607
12.5614099334,15.7929724218,0.7279011246,1.9894004753,2.1228420735,0.9051816054,0.3936646279,-1.9871647902
12.6407343061,12.2351077828,2.4901913711,0.4944984491,2.2916083518,0.6156042391,0.4768066620,-1.3951868094
12.7596755674,14.5250708947,1.4794543438,0.4569998540,2.7622537285,0.0995638411,1.9379896599,-2.0636602660
11.8377039106,13.7079529347,0.9953899772,1.4155734268,1.4430836356,0.4394890308,1.2906525580,-1.6894924055
11.9334909240,12.4651098242,1.8262221806,0.4109952727,2.7470375384,0.3151929406,1.0575562381,-1.3925065426
13.8976638876,13.3407723596,2.5070002302,0.4966139502,1.8814470933,0.6625729881,0.4812326367,-0.8856574281
13.1171366626,12.3874011999,2.3295669464,0.7394934566,1.9477915667,1.7162869511,0.1081012723,-1.1712803143
13.9204131796,13.5157406155,0.1899380240,1.8918322077,2.8125427111,0.7572510580,0.1897582395,-1.5848190666
12.7679914269,13.0161638160,1.9785273477,1.8803619210,2.1205283919,1.7452139735,0.8970807165,-0.7300916516
11.8841567310,15.1840915646,1.4042198060,0.5070914432,0.8408999461,1.2215702680,0.1872667181,-1.2031426898
12.0079402812,15.3050335648,1.4570713048,1.7760431542,1.8879645142,1.2752393290,1.3773351851,-0.7249323962
12.3024962594,15.3650057255,0.2888763047,1.5738336607,2.6005212321,0.0139366025,0.6921327234,-1.1770628299
13.5173371677,12.7310533155,1.8831696838,1.1208897750,2.2372450807,1.2273674571,1.9389433747,-2.0483658253
12.5838651992,14.1909955542,0.3184547649,1.8303644194,1.6527428014,0.7290798710,0.0216900522,-0.6158841017
13.4699065278,15.9804014163,2.1636491806,1.6574484876,2.1242861191,1.8215197798,1.8340349788,-0.8618824288
13.9195584339,15.5884666548,1.2131243009,1.9559530105,1.0591932701,0.7068530051,0.2807907063,-2.0781650567
11.5094382490,12.5400210712,0.0427306139,1.8971788519,2.6367078637,0.0150679900,0.5828550444,-0.9893112292
11.7538922922,12.3277906691,2.1982428458,1.8976433577,2.3945160035,1.6737667016,0.4134096330,-1.6797075926
12.8633349164,15.0078856107,1.2630065049,0.5170560540,0.8836565788,1.7599912451,1.5938376738,-1.7659587728
12.2125284166,15.8207850749,1.4195302830,0.6421678393,2.5312860047,1.3613694248,0.7291977703,-1.7421575425
12.0796066607,15.3696748930,2.7030726954,1.9489931107,2.5509710768,1.5389609725,0.6250640133,-1.7055966667
12.3144468225,14.2293616432,1.2367996148,1.4258971168,1.5044525500,1.1270619119,0.4188662993,-0.8880017217
